id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_id,loan_status,term,sub_grade,verification_status,addr_state
12606806.0,24975.0,22704.545454545452,24975.0,22704.545454545452,686165.2,549.65,499.68181818181813,3831.55,3483.2272727272725,1.1,5,1,60,B5,1,2
13026045.0,12000.0,10714.285714285714,12000.0,10714.285714285714,686165.2,275.07,245.59821428571425,2799.58,2499.6249999999995,1.12,2,1,60,C3,1,2
1312426.0,15000.0,13513.513513513511,15000.0,13513.513513513511,0.1561,361.67,325.8288288288288,2880.35,2594.9099099099094,1.11,4,1,60,D1,1,4
14187903.0,12000.0,10714.285714285714,12000.0,10714.285714285714,0.1399,279.16,249.25,2846.33,2541.366071428571,1.12,2,1,60,C5,1,4
14428496.0,21000.0,18584.07079646018,21000.0,18584.07079646018,686165.2,471.29,417.07079646017706,5155.28,4562.194690265487,1.13,1,1,60,C1,1,4
14470171.0,21000.0,18918.918918918916,21000.0,18918.918918918916,686165.2,687.42,619.2972972972972,68616520.0,61816684.68468468,1.11,4,1,36,B4,1,1
14550531.0,32000.0,29090.90909090909,32000.0,29090.90909090909,686165.2,1005.43,914.0272727272726,3089.0,2808.181818181818,1.1,10,1,36,B1,1,0
14669896.0,21500.0,19026.548672566372,21500.0,19026.548672566372,686165.2,482.51,427.00000000000006,23855.94,21111.451327433628,1.13,1,1,60,C1,1,1
15389420.0,15000.0,13888.888888888889,15000.0,13888.888888888889,0.1399,348.95,323.10185185185185,68616520.0,63533814.81481481,1.08,3,0,60,C4,1,2
16130931.0,20000.0,18348.623853211007,20000.0,18348.623853211007,0.1333,677.07,621.1651376146789,21119.05,19375.275229357798,1.09,7,1,36,C5,1,4
19137119.0,27000.0,24545.454545454544,27000.0,24545.454545454544,686165.2,586.92,533.5636363636363,4075.47,3704.972727272727,1.1,5,1,60,B4,1,1
19646726.0,28000.0,24999.999999999996,28000.0,24999.999999999996,686165.2,863.54,771.017857142857,9472.03,8457.169642857143,1.12,2,1,36,A4,0,3
